rank,name,ticker,marketcap_usd_billions
"1","General Electric","GE","406"
"2","Microsoft","MSFT","365"
"3","Exxon Mobil","XOM","272"
"4","Citigroup","C","261"
"5","Wal-Mart Stores","WMT","260"
"6","Pfizer","PFE","253"
"7","Intel","INTC","219"
"8","Intnl Business Machines","IBM","212"
"9","American Intnl Group","AIG","208"
"10","Johnson & Johnson","JNJ","182"
"11","BP","BP","172"
"12","Vodafone Group","VOD","159"
"13","GlaxoSmithKline","GSK","153"
"14","AOL Time Warner","AOL","143"
"15","Merck","MRK","135"
"16","Cisco Systems","CSCO","135"
"17","SBC Comm","SBC","133"
"18","Verizon Comm","VZ","131"
"19","Tyco Intnl","TYC","123"
"20","Home Depot","HD","120"
"21","Coca-Cola Co (Coke)","KO","119"
"22","Nokia Oyj","NOK","117"
"23","Berkshire Hathaway","BRKA","111"
"24","HSBC Holdings","HBC","109"
"25","Royal Dutch Petroleum","RD","105"
"26","Procter & Gamble","PG","103"
"27","Bristol-Myers Squibb","BMY","102"
"28","Philip Morris Companies","MO","100"
"29","Bank of America","BAC","99"
"30","TotalFinaElf","TOT","98"
"31","ChevronTexaco","CVX","97"
"32","Novartis","NVS","93"
"33","Toyota Motor","TM","90"
"34","Eli Lilly","LLY","89"
"35","Abbott Laboratories","ABT","87"
"36","Pepsico","PEP","86"
"37","American Home Products","AHP","81"
"38","Fannie Mae","FNM","79"
"39","AstraZeneca","AZN","78"
"40","Oracle","ORCL","77"
"41","Viacom","VIAB","77"
"42","Wells Fargo","WFC","73"
"43","BellSouth","BLS","73"
"44","Dell Computer","DELL","72"
"45","JP Morgan Chase","JPM","71"
"46","Deutsche Telekom","DT","70"
"47","Shell Transport & Trading Co","SC","68"
"48","China Mobile (Hong Kong)","CHL","64"
"49","AT&T","T","63"
"50","Telefonica","TEF","62"
"51","UBS","UBS","62"
"52","Medtronic","MDT","62"
"53","United Parcel Service","UPS","61"
"54","Telecom Italia","TI","61"
"55","Lloyds TSB Group","LYG","61"
"56","Amgen","AMGN","61"
"57","Morgan Stanley Dean Witter","MWD","60"
"58","Vivendi Universal","V","58"
"59","Kraft Foods","KFT","58"
"60","Siemens","SI","58"
"61","Unilever NV","UN","57"
"62","Allianz AG Holding","AZ","56"
"63","Taiwan Semiconductor Mfg","TSM","56"
"64","Pharmacia","PHA","54"
"65","Barclays","BCS","54"
"66","Aventis","AVE","54"
"67","Schering-Plough","SGP","52"
"68","Credit Suisse Group","CSR","51"
"69","Nippon Telegraph and Telephone","NTT","50"
"70","Texas Instruments","TXN","49"
"71","ENI","E","49"
"72","ING Groep NV","ING","49"
"73","Minnesota Mining & Mfg","MMM","47"
"74","American Express","AXP","46"
"75","France Telecom","FTE","45"
"76","Freddie Mac","FRE","45"
"77","Bank One","ONE","45"
"78","Goldman Sachs Group","GS","44"
"79","Merrill Lynch","MER","43"
"80","DuPont","DD","43"
"81","Deutsche Bank","DB","42"
"82","WorldCom Inc-WorldCom Group","WCOM","42"
"83","Walt Disney","DIS","42"
"84","Wachovia","WB","42"
"85","Ericsson, Telefonab. L M AB","ERICY","42"
"86","DaimlerChrysler","DCX","41"
"87","Sun Microsystems","SUNW","41"
"88","US Bancorp","USB","40"
"89","Hewlett-Packard","HWP","40"
"90","SAP","SAP","40"
"91","Anheuser-Busch Companies","BUD","40"
"92","Sony","SNE","39"
"93","Qualcomm","QCOM","39"
"94","Diageo","DEO","39"
"95","Banco Bilbao Vizcaya Argentaria","BBV","38"
"96","Honda Motor","HMC","38"
"97","FleetBoston Financial","FBF","38"
"98","Aegon NV","AEG","37"
"99","Koninklijke Philips Electronics NV","PHG","37"
"100","Banco Santander Central Hispano","STD","37"
