rank,name,ticker,marketcap,country
"1","NVIDIA","NVDA","$5.516 T","USA"
"2","Apple","AAPL","$4.789 T","USA"
"3","Alphabet (Google)","GOOG","$4.146 T","USA"
"4","Microsoft","MSFT","$3.787 T","USA"
"5","Amazon","AMZN","$2.792 T","USA"
"6","TSMC","TSM","$2.162 T","Taiwan"
"7","SpaceX","SPCX","$1.973 T","USA"
"8","Broadcom","AVGO","$1.699 T","USA"
"9","Saudi Aramco","2222.SR","$1.672 T","S. Arabia"
"10","Meta Platforms","META","$1.555 T","USA"
"11","Tesla","TSLA","$1.486 T","USA"
"12","Samsung","005930.KS","$1.241 T","S. Korea"
"13","Berkshire Hathaway","BRK-B","$1.087 T","USA"
"14","Micron Technology","MU","$1.082 T","USA"
"15","Eli Lilly","LLY","$1.034 T","USA"
"16","JPMorgan Chase","JPM","$962.42 B","USA"
"17","SK Hynix","000660.KS","$864.93 B","S. Korea"
"18","Walmart","WMT","$862.81 B","USA"
"19","AMD","AMD","$744.66 B","USA"
"20","Visa","V","$707.14 B","USA"
"21","Johnson & Johnson","JNJ","$670.98 B","USA"
"22","Exxon Mobil","XOM","$666.99 B","USA"
"23","ASML","ASML","$632.30 B","Netherlands"
"24","CXMT","688825.SS","$578.31 B","China"
"25","Tencent","TCEHY","$529.78 B","China"
"26","Mastercard","MA","$513.08 B","USA"
"27","Intel","INTC","$484.57 B","USA"
"28","AbbVie","ABBV","$459.82 B","USA"
"29","Oracle","ORCL","$443.70 B","USA"
"30","Bank of America","BAC","$440.82 B","USA"
"31","Palantir","PLTR","$438.63 B","USA"
"32","Cisco","CSCO","$428.20 B","USA"
"33","China Construction Bank","601939.SS","$428.05 B","China"
"34","Chevron","CVX","$414.52 B","USA"
"35","Costco","COST","$410.39 B","USA"
"36","Coca-Cola","KO","$382.10 B","USA"
"37","Merck","MRK","$375.84 B","USA"
"38","Caterpillar","CAT","$367.80 B","USA"
"39","Lam Research","LRCX","$366.21 B","USA"
"40","HSBC","HSBC","$364.73 B","UK"
"41","Agricultural Bank of China","601288.SS","$363.23 B","China"
"42","UnitedHealth","UNH","$359.88 B","USA"
"43","Roche","RO.SW","$358.27 B","Switzerland"
"44","ICBC","1398.HK","$349.81 B","China"
"45","General Electric","GE","$346.00 B","USA"
"46","Applied Materials","AMAT","$345.93 B","USA"
"47","Netflix","NFLX","$344.23 B","USA"
"48","Procter & Gamble","PG","$341.24 B","USA"
"49","Morgan Stanley","MS","$341.04 B","USA"
"50","Dell","DELL","$333.66 B","USA"
"51","Home Depot","HD","$317.33 B","USA"
"52","Bank of China","601988.SS","$315.47 B","China"
"53","Novartis","NVS","$309.98 B","Switzerland"
"54","Goldman Sachs","GS","$302.21 B","USA"
"55","Royal Bank Of Canada","RY","$293.59 B","Canada"
"56","Philip Morris International","PM","$290.16 B","USA"
"57","Alibaba","BABA","$277.91 B","China"
"58","RTX","RTX","$272.42 B","USA"
"59","Mitsubishi UFJ Financial","MUFG","$271.60 B","Japan"
"60","Palo Alto Networks","PANW","$270.53 B","USA"
"61","Wells Fargo","WFC","$269.71 B","USA"
"62","Arm Holdings","ARM","$259.08 B","UK"
"63","AstraZeneca","AZN","$255.54 B","UK"
"64","Shell","SHEL","$253.97 B","UK"
"65","GE Vernova","GEV","$250.84 B","USA"
"66","SAP","SAP","$250.49 B","Germany"
"67","Nestlé","NESN.SW","$248.45 B","Switzerland"
"68","Kweichow Moutai","600519.SS","$248.12 B","China"
"69","LVMH","MC.PA","$247.54 B","France"
"70","Siemens","SIE.DE","$245.73 B","Germany"
"71","CATL","300750.SZ","$242.00 B","China"
"72","Arista Networks","ANET","$241.44 B","USA"
"73","Amgen","AMGN","$240.10 B","USA"
"74","PetroChina","0857.HK","$237.18 B","China"
"75","Toyota","TM","$236.68 B","Japan"
"76","BHP Group","BHP","$235.62 B","Australia"
"77","L'Oréal","OR.PA","$234.60 B","France"
"78","Texas Instruments","TXN","$231.80 B","USA"
"79","Citigroup","C","$231.72 B","USA"
"80","Thermo Fisher Scientific","TMO","$228.66 B","USA"
"81","Sandisk","SNDK","$227.68 B","USA"
"82","KLA","KLAC","$225.95 B","USA"
"83","American Express","AXP","$222.73 B","USA"
"84","MediaTek","2454.TW","$222.50 B","Taiwan"
"85","Linde","LIN","$222.28 B","UK"
"86","IBM","IBM","$221.12 B","USA"
"87","International Holding Company","IHC.AE","$220.68 B","UAE"
"88","China Mobile","0941.HK","$220.29 B","China"
"89","CrowdStrike","CRWD","$220.11 B","USA"
"90","Santander","SAN","$218.55 B","Spain"
"91","Salesforce","CRM","$217.62 B","USA"
"92","Verizon","VZ","$210.19 B","USA"
"93","Novo Nordisk","NVO","$210.04 B","Denmark"
"94","Inditex","ITX.MC","$205.74 B","Spain"
"95","SoftBank Group Corp.","9984.T","$203.62 B","Japan"
"96","Amphenol","APH","$202.38 B","USA"
"97","Toronto Dominion Bank","TD","$202.04 B","Canada"
"98","T-Mobile US","TMUS","$201.68 B","USA"
"99","Allianz SE","ALV.DE","$200.03 B","Germany"
"100","TotalEnergies","TTE","$197.48 B","France"
