year,date,rate,value,source
2001,2001-12-31,USD per EUR,0.8901,https://www.federalreserve.gov/releases/h10/hist/
2002,2002-12-31,USD per EUR,1.0485,https://www.federalreserve.gov/releases/h10/hist/
2003,2003-12-31,USD per EUR,1.2597,https://www.federalreserve.gov/releases/h10/hist/
2004,2004-12-31,USD per EUR,1.3538,https://www.federalreserve.gov/releases/h10/hist/
2005,2005-12-30,USD per EUR,1.1842,https://www.federalreserve.gov/releases/h10/hist/
2006,2006-12-29,USD per EUR,1.3197,https://www.federalreserve.gov/releases/h10/hist/
2007,2007-12-31,USD per EUR,1.4603,https://www.federalreserve.gov/releases/h10/hist/
2008,2008-12-31,USD per EUR,1.3919,https://www.federalreserve.gov/releases/h10/hist/
2009,2009-12-31,USD per EUR,1.4332,https://www.federalreserve.gov/releases/h10/hist/
2010,2010-12-30,USD per EUR,1.3269,https://www.federalreserve.gov/releases/h10/hist/
2011,2011-12-30,USD per EUR,1.2973,https://www.federalreserve.gov/releases/h10/hist/
2012,2012-12-31,USD per EUR,1.3186,https://www.federalreserve.gov/releases/h10/hist/
2013,2013-12-31,USD per EUR,1.3779,https://www.federalreserve.gov/releases/h10/hist/
2014,2014-12-31,USD per EUR,1.2101,https://www.federalreserve.gov/releases/h10/hist/
2015,2015-12-31,USD per EUR,1.0859,https://www.federalreserve.gov/releases/h10/hist/
2016,2016-12-30,USD per EUR,1.0552,https://www.federalreserve.gov/releases/h10/hist/
2017,2017-12-29,USD per EUR,1.2022,https://www.federalreserve.gov/releases/h10/hist/
2018,2018-12-31,USD per EUR,1.1456,https://www.federalreserve.gov/releases/h10/hist/
2019,2019-12-31,USD per EUR,1.1227,https://www.federalreserve.gov/releases/h10/hist/
2020,2020-12-31,USD per EUR,1.2230,https://www.federalreserve.gov/releases/h10/hist/
2021,2021-12-30,USD per EUR,1.1318,https://www.federalreserve.gov/releases/h10/hist/
2022,2022-12-30,USD per EUR,1.0698,https://www.federalreserve.gov/releases/h10/hist/
2023,2023-12-29,USD per EUR,1.1062,https://www.federalreserve.gov/releases/h10/hist/
2001,2001-12-31,USD per GBP,1.4543,https://www.federalreserve.gov/releases/h10/hist/
2002,2002-12-31,USD per GBP,1.6095,https://www.federalreserve.gov/releases/h10/hist/
2003,2003-12-31,USD per GBP,1.7842,https://www.federalreserve.gov/releases/h10/hist/
2004,2004-12-31,USD per GBP,1.9160,https://www.federalreserve.gov/releases/h10/hist/
2005,2005-12-30,USD per GBP,1.7188,https://www.federalreserve.gov/releases/h10/hist/
2006,2006-12-29,USD per GBP,1.9586,https://www.federalreserve.gov/releases/h10/hist/
2007,2007-12-31,USD per GBP,1.9843,https://www.federalreserve.gov/releases/h10/hist/
2008,2008-12-31,USD per GBP,1.4619,https://www.federalreserve.gov/releases/h10/hist/
2009,2009-12-31,USD per GBP,1.6167,https://www.federalreserve.gov/releases/h10/hist/
2010,2010-12-30,USD per GBP,1.5392,https://www.federalreserve.gov/releases/h10/hist/
2011,2011-12-30,USD per GBP,1.5537,https://www.federalreserve.gov/releases/h10/hist/
2012,2012-12-31,USD per GBP,1.6262,https://www.federalreserve.gov/releases/h10/hist/
2013,2013-12-31,USD per GBP,1.6574,https://www.federalreserve.gov/releases/h10/hist/
2014,2014-12-31,USD per GBP,1.5578,https://www.federalreserve.gov/releases/h10/hist/
2015,2015-12-31,USD per GBP,1.4746,https://www.federalreserve.gov/releases/h10/hist/
2016,2016-12-30,USD per GBP,1.2337,https://www.federalreserve.gov/releases/h10/hist/
2017,2017-12-29,USD per GBP,1.3529,https://www.federalreserve.gov/releases/h10/hist/
2018,2018-12-31,USD per GBP,1.2763,https://www.federalreserve.gov/releases/h10/hist/
2019,2019-12-31,USD per GBP,1.3269,https://www.federalreserve.gov/releases/h10/hist/
2020,2020-12-31,USD per GBP,1.3662,https://www.federalreserve.gov/releases/h10/hist/
2021,2021-12-30,USD per GBP,1.3500,https://www.federalreserve.gov/releases/h10/hist/
2022,2022-12-30,USD per GBP,1.2077,https://www.federalreserve.gov/releases/h10/hist/
2023,2023-12-29,USD per GBP,1.2743,https://www.federalreserve.gov/releases/h10/hist/
2001,2001-12-31,JPY per USD,131.0400,https://www.federalreserve.gov/releases/h10/hist/
2002,2002-12-31,JPY per USD,118.7500,https://www.federalreserve.gov/releases/h10/hist/
2003,2003-12-31,JPY per USD,107.1300,https://www.federalreserve.gov/releases/h10/hist/
2004,2004-12-31,JPY per USD,102.6800,https://www.federalreserve.gov/releases/h10/hist/
2005,2005-12-30,JPY per USD,117.8800,https://www.federalreserve.gov/releases/h10/hist/
2006,2006-12-29,JPY per USD,119.0200,https://www.federalreserve.gov/releases/h10/hist/
2007,2007-12-31,JPY per USD,111.7100,https://www.federalreserve.gov/releases/h10/hist/
2008,2008-12-31,JPY per USD,90.7900,https://www.federalreserve.gov/releases/h10/hist/
2009,2009-12-31,JPY per USD,93.0800,https://www.federalreserve.gov/releases/h10/hist/
2010,2010-12-30,JPY per USD,81.6700,https://www.federalreserve.gov/releases/h10/hist/
2011,2011-12-30,JPY per USD,76.9800,https://www.federalreserve.gov/releases/h10/hist/
2012,2012-12-31,JPY per USD,86.6400,https://www.federalreserve.gov/releases/h10/hist/
2013,2013-12-31,JPY per USD,105.2500,https://www.federalreserve.gov/releases/h10/hist/
2014,2014-12-31,JPY per USD,119.8500,https://www.federalreserve.gov/releases/h10/hist/
2015,2015-12-31,JPY per USD,120.2700,https://www.federalreserve.gov/releases/h10/hist/
2016,2016-12-30,JPY per USD,116.7800,https://www.federalreserve.gov/releases/h10/hist/
2017,2017-12-29,JPY per USD,112.6900,https://www.federalreserve.gov/releases/h10/hist/
2018,2018-12-31,JPY per USD,109.7000,https://www.federalreserve.gov/releases/h10/hist/
2019,2019-12-31,JPY per USD,108.6700,https://www.federalreserve.gov/releases/h10/hist/
2020,2020-12-31,JPY per USD,103.1900,https://www.federalreserve.gov/releases/h10/hist/
2021,2021-12-30,JPY per USD,115.1700,https://www.federalreserve.gov/releases/h10/hist/
2022,2022-12-30,JPY per USD,131.8100,https://www.federalreserve.gov/releases/h10/hist/
2023,2023-12-29,JPY per USD,140.9200,https://www.federalreserve.gov/releases/h10/hist/
2001,2001-12-31,CHF per USD,1.6598,https://www.federalreserve.gov/releases/h10/hist/
2002,2002-12-31,CHF per USD,1.3833,https://www.federalreserve.gov/releases/h10/hist/
2003,2003-12-31,CHF per USD,1.2380,https://www.federalreserve.gov/releases/h10/hist/
2004,2004-12-31,CHF per USD,1.1412,https://www.federalreserve.gov/releases/h10/hist/
2005,2005-12-30,CHF per USD,1.3148,https://www.federalreserve.gov/releases/h10/hist/
2006,2006-12-29,CHF per USD,1.2195,https://www.federalreserve.gov/releases/h10/hist/
2007,2007-12-31,CHF per USD,1.1329,https://www.federalreserve.gov/releases/h10/hist/
2008,2008-12-31,CHF per USD,1.0673,https://www.federalreserve.gov/releases/h10/hist/
2009,2009-12-31,CHF per USD,1.0358,https://www.federalreserve.gov/releases/h10/hist/
2010,2010-12-30,CHF per USD,0.9369,https://www.federalreserve.gov/releases/h10/hist/
2011,2011-12-30,CHF per USD,0.9374,https://www.federalreserve.gov/releases/h10/hist/
2012,2012-12-31,CHF per USD,0.9155,https://www.federalreserve.gov/releases/h10/hist/
2013,2013-12-31,CHF per USD,0.8904,https://www.federalreserve.gov/releases/h10/hist/
2014,2014-12-31,CHF per USD,0.9934,https://www.federalreserve.gov/releases/h10/hist/
2015,2015-12-31,CHF per USD,1.0017,https://www.federalreserve.gov/releases/h10/hist/
2016,2016-12-30,CHF per USD,1.0160,https://www.federalreserve.gov/releases/h10/hist/
2017,2017-12-29,CHF per USD,0.9738,https://www.federalreserve.gov/releases/h10/hist/
2018,2018-12-31,CHF per USD,0.9832,https://www.federalreserve.gov/releases/h10/hist/
2019,2019-12-31,CHF per USD,0.9677,https://www.federalreserve.gov/releases/h10/hist/
2020,2020-12-31,CHF per USD,0.8841,https://www.federalreserve.gov/releases/h10/hist/
2021,2021-12-30,CHF per USD,0.9146,https://www.federalreserve.gov/releases/h10/hist/
2022,2022-12-30,CHF per USD,0.9241,https://www.federalreserve.gov/releases/h10/hist/
2023,2023-12-29,CHF per USD,0.8405,https://www.federalreserve.gov/releases/h10/hist/
2001,2001-12-31,HKD per USD,7.7980,https://www.federalreserve.gov/releases/h10/hist/
2002,2002-12-31,HKD per USD,7.7988,https://www.federalreserve.gov/releases/h10/hist/
2003,2003-12-31,HKD per USD,7.7640,https://www.federalreserve.gov/releases/h10/hist/
2004,2004-12-31,HKD per USD,7.7723,https://www.federalreserve.gov/releases/h10/hist/
2005,2005-12-30,HKD per USD,7.7533,https://www.federalreserve.gov/releases/h10/hist/
2006,2006-12-29,HKD per USD,7.7771,https://www.federalreserve.gov/releases/h10/hist/
2007,2007-12-31,HKD per USD,7.7984,https://www.federalreserve.gov/releases/h10/hist/
2008,2008-12-31,HKD per USD,7.7499,https://www.federalreserve.gov/releases/h10/hist/
2009,2009-12-31,HKD per USD,7.7536,https://www.federalreserve.gov/releases/h10/hist/
2010,2010-12-30,HKD per USD,7.7810,https://www.federalreserve.gov/releases/h10/hist/
2011,2011-12-30,HKD per USD,7.7663,https://www.federalreserve.gov/releases/h10/hist/
2012,2012-12-31,HKD per USD,7.7507,https://www.federalreserve.gov/releases/h10/hist/
